@RELATION mark1
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {ah_drakht_boht_sohna_lag_reha,ah_gana_download_kar,balli_ik_kam_kar,kuch_nava_try_karo,last_sample,mausam_vadia_ajj,parkhin_na_pahunch_jatt_di,tathe_nu_phone_la,thoda_ja_lamba_phrase}

@DATA
0.027715,0.001079,2.906017,0.118148,0.191302,0.122794,0.010493,0.022505,-32.114824,2.283535,0.669857,1.009467,0.016216,0.169698,0.167709,0.146007,0.136506,0.195239,0.033395,0.064646,-0.026858,0.007259,0.000882,0.085651,0.009211,0.050176,0.004045,0.076466,0.001134,0.002307,0.010730,0.046331,0.005250,0.039221,0.011515,0.004014,0.243106,0.034331,0.031744,0.113061,0.006065,0.019582,1.637317,0.442672,0.454739,0.310204,0.324042,0.199068,0.341025,0.189151,0.221613,0.185126,0.156970,0.152938,0.148744,0.006227,0.000991,0.054108,0.008815,0.031366,0.004162,0.050493,0.002151,0.004153,0.012035,0.038653,0.007771,0.010458,171.428571,0.149254,ah_drakht_boht_sohna_lag_reha
0.024244,0.017301,3.015905,0.112513,0.189287,0.103243,0.008150,0.020675,-25.720558,2.351813,0.605293,0.869226,-0.092684,0.178297,0.203133,0.132673,0.130929,0.174019,0.113092,0.050421,0.054978,0.006884,0.001629,0.054712,0.007375,0.036090,0.006321,0.093769,0.000770,0.002661,0.009952,0.078749,0.003656,0.040220,0.009971,0.014988,0.163460,0.025815,0.025249,0.072387,0.004137,0.015977,1.388604,0.426265,0.419468,0.331770,0.327375,0.220168,0.295878,0.195663,0.194776,0.199630,0.174490,0.129169,0.144880,0.006515,0.002491,0.034794,0.010134,0.024968,0.006072,0.053399,0.001652,0.003508,0.010290,0.059049,0.004453,0.011300,171.428571,0.171429,ah_drakht_boht_sohna_lag_reha
0.024335,0.021813,2.963806,0.110500,0.187564,0.126325,0.008730,0.029341,-25.210557,2.408120,0.496373,0.872430,-0.036336,0.227739,0.204973,0.097332,0.112568,0.181631,0.048396,-0.013284,-0.001237,0.008562,0.001877,0.083378,0.007735,0.055800,0.006572,0.081450,0.001610,0.001707,0.008568,0.038410,0.004252,0.038293,0.010689,0.022501,0.209166,0.030500,0.024737,0.185420,0.003839,0.038107,1.638605,0.472711,0.372771,0.347067,0.345408,0.218197,0.325059,0.188598,0.186952,0.173118,0.157855,0.154200,0.158819,0.008304,0.003632,0.059737,0.005978,0.032655,0.005940,0.046910,0.003011,0.001740,0.007529,0.028917,0.005128,0.012184,120.000000,0.130435,ah_drakht_boht_sohna_lag_reha
0.020425,0.018468,2.997621,0.102526,0.181589,0.090255,0.009808,0.022399,-25.348484,2.499147,0.612346,0.858620,-0.003843,0.294252,0.173420,0.087028,0.145486,0.143821,0.083511,-0.014897,-0.005330,0.008741,0.001390,0.079986,0.010720,0.061748,0.005445,0.072155,0.000955,0.002257,0.010878,0.032464,0.002083,0.035989,0.007636,0.017004,0.187562,0.026130,0.028109,0.074092,0.004500,0.017452,1.413474,0.393377,0.365015,0.382278,0.430506,0.230024,0.252842,0.202166,0.175257,0.202009,0.178682,0.174007,0.137409,0.009318,0.001986,0.054724,0.010998,0.034742,0.005467,0.037201,0.001653,0.002439,0.009245,0.023659,0.002568,0.009542,240.000000,0.157143,ah_drakht_boht_sohna_lag_reha
0.026180,0.033976,2.996010,0.115827,0.190700,0.139062,0.008790,0.028736,-24.766942,2.425173,0.603558,0.994369,-0.051278,0.070218,0.243334,0.163976,0.084602,0.156080,0.008269,0.063224,-0.031076,0.007805,0.002113,0.067722,0.008314,0.054115,0.006005,0.077315,0.001082,0.002096,0.010955,0.044200,0.004462,0.035298,0.015916,0.028749,0.168562,0.041449,0.038578,0.189036,0.004618,0.034784,1.659559,0.437944,0.414946,0.381329,0.424747,0.259862,0.309998,0.182713,0.212687,0.197017,0.181057,0.178438,0.146677,0.008044,0.003183,0.048569,0.008111,0.031883,0.006262,0.039437,0.002080,0.002167,0.008399,0.034496,0.007194,0.009683,171.428571,0.144737,ah_drakht_boht_sohna_lag_reha
0.022164,0.030834,2.980451,0.109442,0.188896,0.105495,0.010437,0.020856,-25.276818,2.492081,0.662995,0.970105,-0.056505,0.087622,0.230678,0.174251,0.095077,0.161237,0.066372,0.032744,-0.012851,0.010818,0.000982,0.063383,0.009495,0.049275,0.007846,0.081012,0.000546,0.001429,0.009727,0.053365,0.006556,0.037000,0.013717,0.028928,0.242020,0.036677,0.032629,0.144699,0.005483,0.021998,1.524038,0.490871,0.349502,0.345270,0.436676,0.202763,0.257411,0.209268,0.185483,0.196832,0.166254,0.185809,0.151105,0.009201,0.001511,0.046341,0.012109,0.030995,0.008089,0.048204,0.000809,0.001581,0.010678,0.037393,0.012568,0.010085,133.333333,0.136986,ah_drakht_boht_sohna_lag_reha
0.021801,0.032849,3.006179,0.112668,0.192593,0.116346,0.010182,0.025333,-24.969980,2.505760,0.647843,0.997373,-0.053200,0.056415,0.131106,0.212990,0.149004,0.156456,0.109245,0.065659,0.017079,0.006790,0.001137,0.060073,0.010073,0.052102,0.006054,0.070576,0.000717,0.001937,0.008764,0.066396,0.005789,0.037401,0.015676,0.031528,0.184620,0.035018,0.029518,0.180300,0.006250,0.034132,1.476120,0.435635,0.334785,0.396243,0.372215,0.249927,0.251295,0.231281,0.180790,0.177359,0.189386,0.161653,0.135635,0.006026,0.001406,0.045061,0.014511,0.034547,0.006272,0.046050,0.001305,0.001676,0.006008,0.050449,0.009800,0.008691,133.333333,0.101449,ah_drakht_boht_sohna_lag_reha
0.019419,0.033009,3.011708,0.103729,0.184449,0.089771,0.009483,0.022580,-24.723939,2.533215,0.548826,0.858180,-0.146209,0.120996,0.235881,0.255298,0.152165,0.153561,0.106916,0.106007,0.024881,0.010077,0.002441,0.061586,0.006666,0.039701,0.006576,0.081903,0.001063,0.002167,0.008702,0.073491,0.003849,0.039767,0.011097,0.027454,0.195763,0.028437,0.029269,0.109154,0.004868,0.020334,1.572876,0.407301,0.400820,0.354444,0.356851,0.243269,0.336602,0.216692,0.208421,0.183636,0.158530,0.165557,0.185350,0.009079,0.004127,0.044433,0.007302,0.030292,0.006438,0.052314,0.002548,0.003701,0.008631,0.049201,0.006670,0.011690,240.000000,0.120000,ah_drakht_boht_sohna_lag_reha
0.026633,0.011558,2.973717,0.107994,0.180669,0.147495,0.008560,0.037886,-26.076669,2.263016,0.566849,0.870384,-0.192970,0.174674,0.183844,0.173185,0.128351,0.085060,0.072455,0.014772,0.018965,0.007700,0.001072,0.058938,0.012713,0.043512,0.003588,0.109941,0.001318,0.002049,0.009005,0.050549,0.003156,0.041241,0.014174,0.011427,0.215796,0.036224,0.028735,0.203925,0.004828,0.048769,1.605800,0.492882,0.374152,0.361313,0.401583,0.287092,0.315389,0.188814,0.204647,0.228286,0.187052,0.213238,0.176436,0.008108,0.000808,0.041954,0.015756,0.032472,0.004202,0.072099,0.001700,0.001818,0.006064,0.040743,0.003454,0.015261,200.000000,0.128571,ah_drakht_boht_sohna_lag_reha
0.027964,0.012056,3.001345,0.121464,0.192944,0.163578,0.008687,0.031110,-25.957881,2.264647,0.563958,0.847191,-0.112491,0.211463,0.226008,0.134014,0.153752,0.169803,0.045498,0.057798,0.027356,0.005707,0.001060,0.059767,0.008854,0.048473,0.004507,0.106602,0.001147,0.002255,0.010416,0.047840,0.003615,0.040031,0.014900,0.010681,0.193649,0.034759,0.028811,0.185799,0.004436,0.033000,1.376683,0.447709,0.383059,0.341111,0.390872,0.235310,0.298569,0.191723,0.244280,0.185187,0.180284,0.159026,0.141564,0.004058,0.000933,0.042224,0.009832,0.026392,0.004572,0.058547,0.001654,0.002167,0.006932,0.034633,0.004845,0.011896,200.000000,0.117647,ah_drakht_boht_sohna_lag_reha
0.029212,0.019981,3.025532,0.126510,0.194434,0.174491,0.007342,0.028569,-25.158742,1.980560,0.688134,0.862527,-0.017029,0.148528,0.208313,0.140181,0.134950,0.214595,0.065181,0.029112,0.026498,0.004615,0.001073,0.072682,0.009398,0.048370,0.003440,0.116823,0.000930,0.001976,0.009015,0.046796,0.001838,0.045306,0.012562,0.015677,0.146362,0.026848,0.021118,0.124427,0.003571,0.021602,1.283004,0.470360,0.402527,0.301562,0.351801,0.183289,0.309100,0.200792,0.197189,0.151025,0.162435,0.170880,0.141092,0.003791,0.001270,0.054369,0.009130,0.032785,0.003208,0.062518,0.001347,0.001978,0.008073,0.034800,0.002779,0.012085,150.000000,0.166667,ah_drakht_boht_sohna_lag_reha
0.026762,0.026163,3.007026,0.114994,0.189311,0.112497,0.007653,0.021733,-24.753944,2.226404,0.460908,0.927241,0.020658,0.147672,0.189254,0.122247,0.122404,0.173703,0.063734,0.002680,0.017561,0.005965,0.001114,0.068600,0.008999,0.039875,0.004574,0.106343,0.001479,0.001859,0.008593,0.065121,0.003187,0.042061,0.007965,0.019196,0.138770,0.024161,0.025875,0.047439,0.003533,0.016736,1.397835,0.332179,0.364286,0.334595,0.362655,0.213726,0.330912,0.212296,0.182079,0.174432,0.161564,0.169803,0.133267,0.005323,0.000990,0.044825,0.009074,0.022600,0.004742,0.059471,0.003268,0.001741,0.006215,0.048489,0.005259,0.013256,240.000000,0.146667,ah_drakht_boht_sohna_lag_reha
0.021673,0.001055,2.974970,0.109776,0.194876,0.085714,0.008373,0.020342,-32.472741,2.301481,0.487329,1.058375,0.071357,0.106377,0.124179,0.201135,0.030289,0.178463,0.012759,-0.034490,0.104077,0.010121,0.000876,0.093071,0.010722,0.038149,0.004300,0.100129,0.001295,0.001829,0.010533,0.043875,0.002300,0.044547,0.007395,0.003985,0.258240,0.021714,0.024735,0.062887,0.004231,0.014181,1.646263,0.388612,0.444630,0.299497,0.229512,0.214586,0.252468,0.194371,0.190608,0.152460,0.172036,0.157226,0.141731,0.010422,0.000989,0.065391,0.013826,0.028578,0.004533,0.060856,0.001678,0.002087,0.010460,0.032282,0.003061,0.011520,80.000000,0.101695,ah_gana_download_kar
0.025764,0.026038,2.991276,0.111816,0.188245,0.104721,0.008193,0.023034,-25.119691,1.994278,0.495905,1.114587,0.102051,0.086769,0.090997,0.238296,0.092959,0.162666,0.038885,-0.007013,0.162710,0.006334,0.000804,0.067792,0.012475,0.047837,0.002653,0.133726,0.001249,0.001368,0.009175,0.034309,0.001120,0.048986,0.010044,0.017848,0.154660,0.027716,0.029004,0.059006,0.004079,0.014400,1.081503,0.320796,0.356927,0.257202,0.225145,0.208332,0.278203,0.221071,0.179119,0.197439,0.159541,0.165300,0.159141,0.005467,0.000997,0.045180,0.009026,0.023911,0.002577,0.058610,0.002637,0.001377,0.009050,0.031573,0.001110,0.011828,300.000000,0.155844,ah_gana_download_kar
0.023790,0.023026,2.990426,0.113232,0.193914,0.104747,0.007713,0.022610,-25.755091,2.185654,0.449098,1.089733,0.093099,0.055548,0.138168,0.273892,0.028544,0.225923,0.006478,-0.017756,0.116570,0.007853,0.001963,0.093437,0.006527,0.041267,0.004178,0.092419,0.001088,0.003105,0.006527,0.051285,0.001514,0.043780,0.007568,0.022019,0.155889,0.020061,0.022244,0.066832,0.004192,0.013947,1.447027,0.370143,0.421531,0.260433,0.254982,0.231481,0.245217,0.178224,0.189640,0.190248,0.197152,0.152529,0.159808,0.006780,0.002390,0.053183,0.007407,0.025164,0.004267,0.061152,0.002141,0.004469,0.006719,0.040540,0.002144,0.012427,400.000000,0.144928,ah_gana_download_kar
0.023843,0.010681,3.025728,0.109667,0.189023,0.110035,0.007602,0.024637,-26.231174,2.227883,0.489773,1.056181,0.056214,0.036434,0.089163,0.158884,0.001692,0.133179,0.042737,-0.003824,0.078687,0.009447,0.001264,0.084178,0.016468,0.049977,0.004207,0.086407,0.001098,0.002019,0.012001,0.036416,0.001593,0.040138,0.008153,0.009367,0.137099,0.023801,0.027139,0.096878,0.003166,0.022426,1.306636,0.358418,0.401765,0.281029,0.242264,0.219335,0.273863,0.202822,0.154263,0.191555,0.140658,0.143975,0.140153,0.009312,0.001674,0.049923,0.015625,0.029325,0.002851,0.048790,0.001449,0.002185,0.010629,0.031441,0.001613,0.010006,150.000000,0.123288,ah_gana_download_kar
0.017854,0.026686,3.044730,0.100959,0.184652,0.064427,0.008426,0.019979,-25.078051,2.508777,0.525096,0.958565,0.008083,0.142592,0.170196,0.232155,0.077423,0.187500,0.090574,0.032692,0.152729,0.004485,0.000643,0.112506,0.015912,0.051850,0.004267,0.058159,0.001712,0.001663,0.012572,0.036853,0.001272,0.042316,0.005836,0.021849,0.151550,0.023033,0.029012,0.042647,0.003720,0.013846,1.489498,0.297403,0.456690,0.280710,0.247564,0.217850,0.297176,0.230920,0.194639,0.183639,0.142180,0.157196,0.126685,0.003930,0.000634,0.058561,0.017108,0.027516,0.003520,0.041244,0.003135,0.002477,0.013019,0.032337,0.001316,0.009952,240.000000,0.186667,ah_gana_download_kar
0.017241,0.010315,3.024486,0.095906,0.179300,0.069854,0.009053,0.020463,-26.382981,2.654338,0.604117,0.949960,0.002540,0.076384,0.228347,0.261504,0.072931,0.206953,0.069127,0.092243,0.081208,0.005450,0.001168,0.119431,0.012434,0.046782,0.004494,0.049537,0.000699,0.002364,0.011397,0.034642,0.001252,0.040627,0.006707,0.008487,0.176926,0.027967,0.032068,0.051898,0.004700,0.014419,1.527779,0.349036,0.383244,0.291732,0.284259,0.258631,0.315064,0.179415,0.174400,0.202302,0.160851,0.135757,0.124302,0.005045,0.001239,0.064575,0.012896,0.026430,0.004340,0.034636,0.000961,0.002511,0.009336,0.028421,0.001933,0.011931,400.000000,0.148649,ah_gana_download_kar
0.014791,0.029176,3.104899,0.098348,0.184816,0.058269,0.008634,0.020372,-25.415280,2.633639,0.497883,1.024069,0.138236,0.128648,0.252325,0.242851,0.158887,0.191276,0.101531,0.034090,0.141920,0.006264,0.000997,0.129407,0.011291,0.054716,0.002504,0.057049,0.001123,0.001971,0.008680,0.024617,0.001364,0.044023,0.006586,0.014942,0.103982,0.018936,0.023322,0.032567,0.004725,0.014702,1.225642,0.385729,0.405846,0.251371,0.256233,0.265551,0.248598,0.189466,0.156589,0.185283,0.133975,0.137838,0.151476,0.006219,0.001351,0.056059,0.010757,0.026106,0.002584,0.033398,0.001935,0.002531,0.006057,0.018978,0.001656,0.010088,300.000000,0.156250,ah_gana_download_kar
0.014837,0.034275,3.072384,0.085922,0.168476,0.044466,0.009358,0.018920,-24.798526,2.734491,0.345791,1.021533,-0.014603,0.035295,0.119268,0.277925,0.187582,0.255142,0.040106,0.097844,0.170778,0.012925,0.001381,0.153612,0.008520,0.034325,0.004435,0.053489,0.000823,0.002242,0.006519,0.024236,0.001379,0.047818,0.005862,0.016239,0.127268,0.020489,0.025253,0.032451,0.004556,0.011566,0.842641,0.338411,0.345881,0.249040,0.193703,0.171402,0.237503,0.205804,0.169979,0.188807,0.186235,0.143283,0.175635,0.015296,0.001500,0.055255,0.008763,0.020687,0.004029,0.030608,0.001380,0.002199,0.005403,0.018068,0.001172,0.011013,400.000000,0.185185,ah_gana_download_kar
0.014564,0.020740,3.117687,0.086043,0.169380,0.054695,0.008753,0.019601,-25.950946,2.740286,0.571696,0.947197,0.073953,0.117405,0.179044,0.220590,-0.000679,0.223017,-0.059970,0.068114,0.098911,0.004675,0.000822,0.051197,0.019964,0.034689,0.004957,0.036739,0.001471,0.002283,0.017474,0.123509,0.001098,0.043589,0.005525,0.010309,0.099625,0.023577,0.033243,0.037991,0.004355,0.012725,1.182553,0.389294,0.326310,0.259731,0.243511,0.172325,0.284954,0.192389,0.165054,0.204477,0.187809,0.164378,0.148984,0.003547,0.000882,0.026481,0.016118,0.017525,0.005517,0.017592,0.002485,0.002478,0.013839,0.047231,0.001186,0.009618,300.000000,0.150685,ah_gana_download_kar
0.014209,0.040569,3.045520,0.096969,0.186216,0.047076,0.009496,0.017952,-24.880255,2.559832,0.345951,0.980170,0.092188,0.149858,0.178317,0.231320,0.031652,0.205158,0.038655,0.055177,0.105690,0.004679,0.000747,0.060567,0.008325,0.033365,0.004355,0.119595,0.001027,0.003438,0.006481,0.088785,0.000907,0.047853,0.005440,0.019158,0.155632,0.018222,0.020828,0.027140,0.006098,0.008830,0.989313,0.259303,0.268457,0.223638,0.251583,0.203857,0.214428,0.162340,0.145827,0.171284,0.136775,0.131734,0.176320,0.004313,0.000746,0.038527,0.007004,0.021769,0.004722,0.053902,0.001552,0.007293,0.005833,0.046127,0.001135,0.010837,400.000000,0.159420,ah_gana_download_kar
