name,color
ah_drakht_boht_sohna_lag_reha --- 1,#00007f
ah_drakht_boht_sohna_lag_reha --- 10,#00007f
ah_drakht_boht_sohna_lag_reha --- 11,#00007f
ah_drakht_boht_sohna_lag_reha --- 12,#00007f
ah_drakht_boht_sohna_lag_reha --- 2,#00007f
ah_drakht_boht_sohna_lag_reha --- 3,#00007f
ah_drakht_boht_sohna_lag_reha --- 4,#00007f
ah_drakht_boht_sohna_lag_reha --- 5,#00007f
ah_drakht_boht_sohna_lag_reha --- 6,#00007f
ah_drakht_boht_sohna_lag_reha --- 7,#00007f
ah_drakht_boht_sohna_lag_reha --- 8,#00007f
ah_drakht_boht_sohna_lag_reha --- 9,#00007f
ah_gana_download_kar --- 1,#0000ff
ah_gana_download_kar --- 10,#0000ff
ah_gana_download_kar --- 11,#0000ff
ah_gana_download_kar --- 2,#0000ff
ah_gana_download_kar --- 3,#0000ff
ah_gana_download_kar --- 4,#0000ff
ah_gana_download_kar --- 5,#0000ff
ah_gana_download_kar --- 6,#0000ff
ah_gana_download_kar --- 7,#0000ff
ah_gana_download_kar --- 8,#0000ff
ah_gana_download_kar --- 9,#0000ff
balli_ik_kam_kar --- 1,#007cff
balli_ik_kam_kar --- 10,#007cff
balli_ik_kam_kar --- 11,#007cff
balli_ik_kam_kar --- 2,#007cff
balli_ik_kam_kar --- 3,#007cff
balli_ik_kam_kar --- 4,#007cff
balli_ik_kam_kar --- 5,#007cff
balli_ik_kam_kar --- 6,#007cff
balli_ik_kam_kar --- 7,#007cff
balli_ik_kam_kar --- 8,#007cff
balli_ik_kam_kar --- 9,#007cff
kuch_nava_try_karo --- 1,#12fce4
kuch_nava_try_karo --- 10,#12fce4
kuch_nava_try_karo --- 2,#12fce4
kuch_nava_try_karo --- 3,#12fce4
kuch_nava_try_karo --- 4,#12fce4
kuch_nava_try_karo --- 5,#12fce4
kuch_nava_try_karo --- 6,#12fce4
kuch_nava_try_karo --- 7,#12fce4
kuch_nava_try_karo --- 8,#12fce4
kuch_nava_try_karo --- 9,#12fce4
last_sample --- 1,#79ff7d
last_sample --- 10,#79ff7d
last_sample --- 11,#79ff7d
last_sample --- 2,#79ff7d
last_sample --- 3,#79ff7d
last_sample --- 4,#79ff7d
last_sample --- 5,#79ff7d
last_sample --- 6,#79ff7d
last_sample --- 8,#79ff7d
last_sample --- 9,#79ff7d
mausam_vadia_ajj --- 1,#e0ff15
mausam_vadia_ajj --- 10,#e0ff15
mausam_vadia_ajj --- 11,#e0ff15
mausam_vadia_ajj --- 12,#e0ff15
mausam_vadia_ajj --- 2,#e0ff15
mausam_vadia_ajj --- 3,#e0ff15
mausam_vadia_ajj --- 4,#e0ff15
mausam_vadia_ajj --- 5,#e0ff15
mausam_vadia_ajj --- 6,#e0ff15
mausam_vadia_ajj --- 7,#e0ff15
mausam_vadia_ajj --- 8,#e0ff15
mausam_vadia_ajj --- 9,#e0ff15
parkhin_na_pahunch_jatt_di --- 1,#ff9800
parkhin_na_pahunch_jatt_di --- 10,#ff9800
parkhin_na_pahunch_jatt_di --- 11,#ff9800
parkhin_na_pahunch_jatt_di --- 2,#ff9800
parkhin_na_pahunch_jatt_di --- 3,#ff9800
parkhin_na_pahunch_jatt_di --- 4,#ff9800
parkhin_na_pahunch_jatt_di --- 5,#ff9800
parkhin_na_pahunch_jatt_di --- 6,#ff9800
parkhin_na_pahunch_jatt_di --- 8,#ff9800
parkhin_na_pahunch_jatt_di --- 9,#ff9800
tathe_nu_phone_la --- 1,#ff2100
tathe_nu_phone_la --- 10,#ff2100
tathe_nu_phone_la --- 11,#ff2100
tathe_nu_phone_la --- 2,#ff2100
tathe_nu_phone_la --- 3,#ff2100
tathe_nu_phone_la --- 4,#ff2100
tathe_nu_phone_la --- 5,#ff2100
tathe_nu_phone_la --- 6,#ff2100
tathe_nu_phone_la --- 7,#ff2100
tathe_nu_phone_la --- 8,#ff2100
tathe_nu_phone_la --- 9,#ff2100
thoda_ja_lamba_phrase --- 1,#7f0000
thoda_ja_lamba_phrase --- 10,#7f0000
thoda_ja_lamba_phrase --- 11,#7f0000
thoda_ja_lamba_phrase --- 13,#7f0000
thoda_ja_lamba_phrase --- 16,#7f0000
thoda_ja_lamba_phrase --- 2,#7f0000
thoda_ja_lamba_phrase --- 3,#7f0000
thoda_ja_lamba_phrase --- 4,#7f0000
thoda_ja_lamba_phrase --- 5,#7f0000
thoda_ja_lamba_phrase --- 6,#7f0000
